ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,EVENT_VALIDITY,CAUSE_CODE,FOCAL_DEPTH,PRIMARY_MAGNITUDE,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,MAXIMUM_WATER_HEIGHT,ABE,IIDA,SOLOVIEV,WARNING_STATUS,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
2219,1993,7,12,13,17,11.9,4,1,17,7.7,JAPAN,,SEA OF JAPAN,42.851,139.197,85,32,,5,3.1,,208,3,233,3,,,1207,4,2374,4,,,231,3,,,233,3,1207,4,2374,4,,
2227,1994,6,2,18,17,34,4,1,18,7.8,INDONESIA,,SOUTH OF JAVA,-10.477,112.835,60,13.9,,3.7,2.5,,238,3,423,3,,,2.2,2,1500,4,,,238,3,,,423,3,2.2,2,1500,4,,
2260,1996,2,17,5,59,30.5,4,1,33,8.2,INDONESIA,,IRIAN JAYA,-0.891,136.952,83,7.7,,2.9,1.8,,110,3,100,2,,,4.2,2,,4,,,164,3,,,432,2,4.2,2,5043,4,,
2281,1998,7,17,8,49,16.1,4,3,25,7,PAPUA NEW GUINEA,,PAPUA NEW GUINEA,-2.943,142.582,82,15.03,,,,,2205,4,1000,3,28,1,,3,,,,,2205,4,28,1,1000,3,,3,,,,
2326,1999,8,17,0,1,39.1,4,1,13,7.6,TURKEY,,"KOCAELI, TURKEY",40.76,29.97,50,2.52,,,,,155,3,,,,,,2,,,,,17118,4,,,50000,4,20000,4,,,50000,4
2439,2004,12,26,0,58,53.4,4,1,30,9.1,INDONESIA,,OFF W. COAST OF SUMATRA,3.316,95.854,60,50.9,,,,4,227899,4,,3,,,10000,4,,3,,,227899,4,,,,3,10000,4,,3,,
2832,2006,7,17,8,19,28.7,4,1,34,7.7,INDONESIA,,SOUTH OF JAVA,-9.254,107.411,60,20.9,,,,,802,3,498,3,,,55,4,1623,4,,,802,3,,,498,3,55,4,1623,4,,
4440,2009,9,29,17,48,10.9,4,1,18,8.1,SAMOA,,SAMOA ISLANDS,-15.489,-172.095,81,22.35,,,,,192,3,7,1,,,285,4,,,,,192,3,,,7,1,285,4,,,,
4682,2010,2,27,6,34,11.5,4,1,23,8.8,CHILE,,CENTRAL CHILE,-36.122,-72.898,89,29,,,,,156,3,12000,4,,,30000,4,,,,,558,3,,,12000,4,30000,4,,,500000,4
5342,2010,10,25,14,42,22,4,1,20,7.8,INDONESIA,,SUMATRA,-3.487,100.082,60,16.9,,,,,431,3,,,,,39,4,700,3,,,431,3,,,,,39,4,700,3,,
5413,2011,3,11,5,46,24.1,4,1,30,9.1,JAPAN,,HONSHU ISLAND,38.297,142.372,85,38.9,,,,,18453,4,6152,4,,,220085.456,4,127511,4,273796,4,18453,4,,,6152,4,220085.456,4,127511,4,273796,4
